,Avg,Std,Min,Max,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20
NC,121.44020727858621,68.38049881594843,12.0,400.0,0.018733392973976207,0.05662745516937497,0.14417902874768002,0.16707836513425822,0.14694297197334866,0.1147103200566141,0.08732458307184918,0.06953920927189457,0.0514333782863552,0.03828128129464703,0.024568384228165516,0.018412935788391437,0.011830211101171004,0.00918643932009667,0.008478763035263643,0.008732458307184917,0.00731710573751886,0.007156877144726476,0.00672960089728012,0.002737238460203223
ND,120.56215686480625,69.10979224696149,12.0,397.0,0.019334880123743233,0.056651198762567676,0.1453982985305491,0.16589327146171692,0.15235885537509666,0.1214230471771075,0.08642691415313225,0.06129156999226605,0.045436968290796596,0.031129156999226606,0.02919566898685228,0.018368136117556073,0.011987625676720804,0.011214230471771076,0.010440835266821345,0.008313998453209591,0.008120649651972157,0.006187161639597835,0.0075406032482598605,0.0032869296210363496
OH,121.85650601153921,68.2567805319222,12.0,400.0,0.016569591138472804,0.05603680097037385,0.14346199178386296,0.1647461350970946,0.1494352836169312,0.11479705683781712,0.09148748698348762,0.06839533579741157,0.05064710661524906,0.039158246461225094,0.025392211834441406,0.017610912128528763,0.012152559246587098,0.009406218173912049,0.008364897183856091,0.007678311915687329,0.007815628969321082,0.007037498998729817,0.006614104750025747,0.0031926214969847464
OK,121.44564957000172,68.72198027773823,12.0,400.0,0.018303801823499055,0.057560639944950975,0.14680887665577155,0.1640805092035094,0.14732496129365216,0.11457078960949596,0.08904180285566833,0.06805436091519008,0.04995699294684328,0.037674178565284704,0.025253741613624633,0.017787717185618442,0.012282814381558576,0.008567004988818166,0.009289523481851024,0.008463788061242044,0.009048683984173404,0.006949939790125581,0.00553930844658524,0.003440564252537416
OR,121.66085515570143,68.39776263546626,12.0,399.0,0.01733594515181195,0.05778648383937316,0.1435847208619001,0.16480574600065295,0.14838393731635652,0.11263467189030363,0.08785504407443682,0.06940907606921319,0.04988573294156056,0.03992817499183807,0.026771139405811297,0.019066274893894876,0.01276526281423441,0.008782239634345414,0.008782239634345414,0.008390466862553052,0.007476330395037545,0.0068560235063663075,0.00652954619653934,0.0029709435194254
PA,121.92552941159309,68.20878115828228,12.0,400.0,0.01720166182136426,0.05516603124465592,0.1424720095765977,0.16507559677695177,0.14848756148839642,0.11723284612057258,0.08989125733082517,0.06976229516442173,0.050126246114536914,0.03910108742669175,0.025671719864398597,0.017654337132452794,0.011819855345089478,0.00856059310525204,0.008942852256837911,0.008369463529459104,0.007816193704795341,0.007363518393706807,0.006236859841664236,0.003048013761329457
PR,121.20477652187637,67.83209504914998,12.0,398.0,0.016422560638266897,0.0592260431528987,0.14311504527851382,0.16381795416824388,0.14585213871822497,0.11641382523367207,0.08965436915819817,0.06988323675858253,0.04938415397606499,0.04175523396325306,0.025274437294354017,0.0165390326995312,0.012433392539964476,0.00990012520746586,0.008968348717351426,0.00716303176775471,0.007221267798386862,0.007920100165972688,0.006376845354220656,0.002678857409078997
RI,121.32333299935404,68.32459316980453,13.0,399.0,0.0197192901055562,0.05985384526157058,0.15021459227467812,0.1629741329312145,0.14360283029810927,0.11332792019487299,0.08525693075049298,0.070873448555852,0.049994200208792486,0.03932258438696207,0.02575107296137339,0.01797935274330124,0.012875536480686695,0.00811970769052314,0.006495766152418513,0.00811970769052314,0.008583690987124463,0.006843753624869504,0.007423732745621157,0.0026679039554576033
SC,121.52583864043618,68.58283895659896,12.0,400.0,0.017831807939466437,0.05769605252176816,0.14329429437783403,0.1685537040643169,0.14677163601969567,0.11508609897905249,0.08737864077669903,0.06974156396917684,0.049767713578323644,0.03644254040670988,0.025954878014855205,0.017442345675577935,0.012601886110106545,0.009820012796617242,0.008901994603165772,0.00834561994046791,0.007956157676579409,0.007093776949397724,0.0065930397529696495,0.0027262358472195177
SD,121.20918421100495,69.18964426773123,13.0,398.0,0.02079520878389619,0.06288471136250208,0.14373648311429046,0.16669439361171187,0.14656463150890034,0.11013142571951422,0.0890034935950757,0.06421560472467143,0.04774579936782565,0.04075860921643653,0.028115122275827648,0.015637997005489936,0.012310763600066544,0.009149891864914324,0.008318083513558476,0.008318083513558476,0.0063217434703044416,0.007486275162202629,0.008151721843287307,0.0036599567459657295
TN,121.5935941620966,68.27513972706326,12.0,400.0,0.018240869352071247,0.0572146417190947,0.14423155486559358,0.16559767954898277,0.14570226325680202,0.11387776779148623,0.08999918293978267,0.06877604379442764,0.05161777923032927,0.03836097720401994,0.02710597271018874,0.018057030803170195,0.011663534602500204,0.008885529863550944,0.008946809379851295,0.007680366042977367,0.007680366042977367,0.007067570879973854,0.006189231146335485,0.0031048288258844676
TX,120.28380555697264,68.6593397295699,12.0,400.0,0.019670433098118112,0.06098332246064669,0.14985384121229625,0.16641186401007924,0.1468360481850913,0.11243021976106649,0.08575810845131443,0.06771110856585114,0.04912628418048992,0.037946506381686076,0.024411256467588602,0.01640862710336688,0.011767400863507114,0.009352170470447042,0.008968721521445752,0.007898052378130462,0.007549462424492926,0.007250671035660752,0.006648108401515868,0.003017793027204956
UT,118.96865512009478,68.76604672252317,12.0,398.0,0.021408563425370147,0.06522609043617447,0.15516206482593037,0.16336534613845538,0.14185674269707882,0.11234493797519007,0.08638455382152861,0.06747699079631853,0.04806922769107643,0.03796518607442977,0.02425970388155262,0.015306122448979591,0.00895358143257303,0.009403761504601841,0.008253301320528211,0.00900360144057623,0.008103241296518607,0.006852741096438576,0.006752701080432173,0.003851540616246499
VT,121.75475626047681,67.66059892050225,12.0,394.0,0.014534288638689868,0.05977482088024565,0.1398157625383828,0.15148413510747186,0.15373592630501534,0.11586489252814738,0.09273285568065506,0.0669396110542477,0.050767656090071646,0.04237461617195496,0.027840327533265097,0.02047082906857728,0.013920163766632548,0.009416581371545548,0.008393039918116683,0.007983623336745137,0.006960081883316274,0.0065506653019447286,0.006141248720573183,0.004298874104401228
VA,120.94202919760808,68.11928467706642,12.0,400.0,0.01774648336068055,0.05848055692734137,0.14818472910327687,0.16433817086964142,0.1483758940945948,0.11382282191388017,0.0868207668902235,0.06866009271502078,0.05088174852245392,0.03879056282159527,0.02603029965112389,0.016934032147579374,0.012186768196517612,0.008968824175999235,0.008363468370159145,0.00748729549328533,0.007232408838194765,0.0072961305019674065,0.006069488474344065,0.0033294569321204977
WA,120.77100352463226,67.93817150089228,12.0,400.0,0.018133743389716087,0.05944567378014477,0.14499493680381054,0.1654164947680306,0.14775156584030305,0.11499081123654502,0.09023740764355098,0.06792183925289727,0.05010688969733338,0.03900536323744515,0.025297228368900724,0.016295990698721074,0.010763980047256498,0.009732588230881746,0.008176124217079849,0.007651052019652702,0.007482278813336834,0.007388515920939129,0.006450886996962083,0.002756629036492518
WV,122.69906493399064,68.7044216254004,12.0,400.0,0.016909216909216908,0.05474705474705475,0.1428967428967429,0.16070686070686072,0.14927234927234928,0.11226611226611227,0.09293139293139294,0.07255717255717256,0.05024255024255024,0.04067914067914068,0.025433125433125432,0.01878031878031878,0.011226611226611227,0.008177408177408177,0.009355509355509356,0.008246708246708246,0.008385308385308385,0.007207207207207207,0.00693000693000693,0.003049203049203049
WI,122.09598107577017,68.94540497991454,12.0,400.0,0.018370134304575462,0.05800136580924198,0.14309128158433873,0.1633052583655816,0.14614158889141818,0.1139767812428864,0.08959708627361712,0.06981561575233326,0.050443888003642155,0.03876621898474846,0.025995902572274073,0.018893694513999543,0.012679262463009332,0.00912815843387207,0.008650125199180514,0.007898930116093786,0.007876166628727522,0.007534714318233554,0.006920100159344411,0.0029137263828818575
WY,120.83746079452123,67.92101168416535,12.0,400.0,0.019212962962962963,0.05555555555555555,0.14976851851851852,0.15833333333333333,0.15,0.11967592592592592,0.08842592592592592,0.06967592592592593,0.05,0.038657407407407404,0.022222222222222223,0.017824074074074076,0.01087962962962963,0.008101851851851851,0.010416666666666666,0.00625,0.009027777777777777,0.006712962962962963,0.006712962962962963,0.0025462962962962965
